Country Code,year,gdp_per_capita,Income
FJI,2022,5405.030062,EAP
FSM,2022,3710.124485,EAP
HKG,2022,48825.84419,EAP
IDN,2022,4730.834848,EAP
JPN,2022,34065.6439,EAP
KHM,2022,2325.0305,EAP
KIR,2022,2069.767201,EAP
LAO,2022,2046.404403,EAP
MAC,2022,36909.95641,EAP
MMR,2022,1158.05005,EAP
MNG,2022,4993.514875,EAP
MYS,2022,11748.09193,EAP
NZL,2022,48760.03819,EAP
PHL,2022,3548.069306,EAP
PNG,2022,3102.289686,EAP
SGP,2022,90299.06946,EAP
SLB,2022,2005.413993,EAP
THA,2022,6909.352818,EAP
TLS,2022,2343.245234,EAP
VNM,2022,4147.697772,EAP
VUT,2022,3292.341088,EAP
WSM,2022,3869.466395,EAP
ALB,2022,6846.426694,ECA
ARM,2022,6571.974455,ECA
AUT,2022,52176.66491,ECA
AZE,2022,7770.594223,ECA
BEL,2022,50822.25185,ECA
BGR,2022,13999.67192,ECA
BIH,2022,7655.59421,ECA
BLR,2022,7994.648061,ECA
CHE,2022,94394.51068,ECA
CYP,2022,33894.44922,ECA
CZE,2022,28282.22367,ECA
DEU,2022,49686.11546,ECA
DNK,2022,68091.31911,ECA
ESP,2022,30270.2687,ECA
EST,2022,28451.14778,ECA
FIN,2022,50440.56022,ECA
FRA,2022,41082.81193,ECA
GBR,2022,46062.99141,ECA
GEO,2022,6729.846599,ECA
GRC,2022,20971.83493,ECA
HRV,2022,18466.09555,ECA
HUN,2022,18483.63669,ECA
IRL,2022,105234.5116,ECA
ISL,2022,75121.01523,ECA
ITA,2022,35653.90421,ECA
KAZ,2022,11255.33964,ECA
KGZ,2022,1739.720183,ECA
LTU,2022,25085.78406,ECA
LUX,2022,123719.6589,ECA
LVA,2022,20227.23074,ECA
MDA,2022,5744.296184,ECA
MKD,2022,7606.237525,ECA
MNE,2022,9990.204446,ECA
NLD,2022,59123.31856,ECA
NOR,2022,109269.5206,ECA
POL,2022,18891.21353,ECA
PRT,2022,24620.51956,ECA
ROU,2022,15557.88262,ECA
RUS,2022,15619.61426,ECA
SRB,2022,10022.96885,ECA
SVK,2022,21334.6011,ECA
SVN,2022,28373.83823,ECA
SWE,2022,55296.93715,ECA
TJK,2022,1052.179495,ECA
TKM,2022,8156.35212,ECA
TUR,2022,10674.50416,ECA
UKR,2022,4199.670898,ECA
UZB,2022,2578.666894,ECA
ARE,2022,49899.0653,HIC
ATG,2022,20105.19891,HIC
BHR,2022,30470.52193,HIC
BHS,2022,34957.16133,HIC
BRB,2022,22164.02603,HIC
CAN,2022,56256.80073,HIC
CHL,2022,15405.61658,HIC
CRI,2022,13625.90085,HIC
GUY,2022,17913.49281,HIC
ISR,2022,54949.62156,HIC
KWT,2022,39981.7691,HIC
MLT,2022,36224.282,HIC
OMN,2022,23223.58294,HIC
PAN,2022,17332.43607,HIC
PRI,2022,35353.68216,HIC
QAT,2022,88701.46335,HIC
SAU,2022,38510.22762,HIC
SYC,2022,16836.67219,HIC
TTO,2022,20874.37683,HIC
URY,2022,20818.61461,HIC
USA,2022,77860.91129,HIC
ARG,2022,13935.68111,LAC
BLZ,2022,7068.454783,LAC
BOL,2022,3643.92827,LAC
BRA,2022,9281.333344,LAC
COL,2022,6680.445069,LAC
DOM,2022,10104.24493,LAC
ECU,2022,6515.585284,LAC
GRD,2022,10535.45888,LAC
GTM,2022,5358.701275,LAC
HND,2022,3003.289968,LAC
HTI,2022,1760.626357,LAC
JAM,2022,6022.153398,LAC
LCA,2022,13103.82431,LAC
MEX,2022,11402.14104,LAC
NIC,2022,2322.89054,LAC
PER,2022,7350.630343,LAC
PRY,2022,6205.625954,LAC
SLV,2022,5074.602102,LAC
SUR,2022,6084.438767,LAC
VCT,2022,9693.558678,LAC
BDI,2022,250.6342254,LIC
BFA,2022,836.1183046,LIC
CAF,2022,467.359825,LIC
COD,2022,642.6122671,LIC
GMB,2022,836.2448756,LIC
GNB,2022,873.4378619,LIC
LBR,2022,744.6171752,LIC
MDG,2022,503.5145335,LIC
MLI,2022,969.7222056,LIC
MOZ,2022,578.2516638,LIC
MWI,2022,604.2697512,LIC
NER,2022,609.7451477,LIC
RWA,2022,975.469324,LIC
SDN,2022,1046.240845,LIC
SLE,2022,860.7745909,LIC
SOM,2022,573.1280925,LIC
TCD,2022,966.0364683,LIC
TGO,2022,898.7581544,LIC
UGA,2022,963.0673142,LIC
AGO,2022,2929.694455,LMC
BEN,2022,1266.42711,LMC
BGD,2022,2716.485928,LMC
CIV,2022,2333.371283,LMC
CMR,2022,1604.87727,LMC
COG,2022,2620.838043,LMC
COM,2022,1533.877553,LMC
DJI,2022,3133.257798,LMC
EGY,2022,4233.307837,LMC
GHA,2022,2229.891226,LMC
GIN,2022,1416.59612,LMC
IND,2022,2347.448294,LMC
JOR,2022,4332.251599,LMC
KEN,2022,2109.562885,LMC
LKA,2022,3342.636503,LMC
LSO,2022,1030.125796,LMC
MAR,2022,3455.39624,LMC
MRT,2022,1960.352401,LMC
NAM,2022,4349.799085,LMC
NGA,2022,2139.374785,LMC
NPL,2022,1385.910663,LMC
PAK,2022,1538.322813,LMC
PSE,2022,3799.95527,LMC
SEN,2022,1574.028106,LMC
STP,2022,2389.737298,LMC
SWZ,2022,3889.65277,LMC
TUN,2022,3708.848124,LMC
TZA,2022,1207.853027,LMC
ZMB,2022,1447.123101,LMC
ZWE,2022,2040.546587,LMC
DZA,2022,4961.552577,MNA
IRN,2022,4405.092915,MNA
IRQ,2022,6520.731546,MNA
LBY,2022,5986.636949,MNA
MDV,2022,11786.00915,SAS
BWA,2022,8328.709057,SSA
CPV,2022,4323.31362,SSA
GAB,2022,8409.207415,SSA
GNQ,2022,7589.299649,SSA
MUS,2022,10223.78823,SSA
ZAF,2022,6523.410978,SSA
AUS,2023,64835.91998,EAP
BRN,2023,32890.54925,EAP
CHN,2023,12951.17824,EAP
FJI,2023,5888.736673,EAP
FSM,2023,3941.372479,EAP
HKG,2023,50565.46477,EAP
IDN,2023,4876.307745,EAP
JPN,2023,33836.17563,EAP
KHM,2023,2429.748535,EAP
KIR,2023,2177.701141,EAP
LAO,2023,2066.949798,EAP
MAC,2023,67476.52908,EAP
MMR,2023,1233.196662,EAP
MNG,2023,5838.631081,EAP
MYS,2023,11379.08519,EAP
NZL,2023,48654.90423,EAP
PHL,2023,3804.082741,EAP
PNG,2023,2966.068304,EAP
SGP,2023,85412.23035,EAP
SLB,2023,2076.107688,EAP
THA,2023,7195.101309,EAP
TLS,2023,1502.519645,EAP
VNM,2023,4323.35032,EAP
VUT,2023,3515.236336,EAP
WSM,2023,4330.178405,EAP
ALB,2023,8575.171346,ECA
ARM,2023,8125.273958,ECA
AUT,2023,56033.57379,ECA
AZE,2023,7133.02838,ECA
BEL,2023,54690.09427,ECA
BGR,2023,15883.86185,ECA
BIH,2023,8663.02323,ECA
BLR,2023,7896.753883,ECA
CHE,2023,100631.8028,ECA
CYP,2023,36551.41797,ECA
CZE,2023,31591.05682,ECA
DEU,2023,53940.40734,ECA
DNK,2023,68453.87693,ECA
ESP,2023,33509.0128,ECA
EST,2023,30133.30445,ECA
FIN,2023,52821.51143,ECA
FRA,2023,44690.93454,ECA
GBR,2023,49200.81015,ECA
GEO,2023,8283.669607,ECA
GRC,2023,23400.72788,ECA
HRV,2023,21865.45628,ECA
HUN,2023,22312.17903,ECA
IRL,2023,103887.8004,ECA
ISL,2023,79960.09615,ECA
ITA,2023,39065.42444,ECA
KAZ,2023,12879.42753,ECA
KGZ,2023,2138.222102,ECA
LTU,2023,27786.00578,ECA
LUX,2023,131407.6814,ECA
LVA,2023,22675.57863,ECA
